Année,Source de financement,BS,BE,FR,GE,LS,LU,NE,SG,UZH,USI,EPFL,ETHZ,FS-CH,IHEID
1997,Autres cantons: accord intercantonal universitaire,17754423,33149604,42839765,22880000,23432489,1289326,10781858,17265546,66106034,0,0,0,...,...
1997,Autres cantons: autres subventions,57229733,85000,0,0,0,597561,688614,0,866377,0,0,0,...,...
1997,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",0,0,2410812,7823000,0,0,0,0,0,0,0,0,...,...
1997,"Confédération: contributions liées à des projets de coopération et d'innovation, selon LEHE (autrefois LAU)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Confédération: autres subventions,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Fondations,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Communes (jusqu'en 1999),0,60000,0,0,0,0,0,68381,67684,0,0,0,...,...
1997,"Déduction des dépenses non universitaires (budget ordinaire, jusqu'en 1999)",0,-15854020,0,-6455000,-1785000,0,-59928,0,-555140,0,0,0,...,...
1997,Confédération: subventions de base LEHE (autrefois LAU),31754805,60250223,45547812,59004000,46659850,1214087,19176574,17342623,68877951,0,0,0,...,...
1997,Confédération: enveloppe budgétaire EPF,0,0,0,0,0,0,0,0,0,0,306851000,667772000,...,...
1997,Frais centraux de la haute école couverts par des overheads,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Financement de projets de l'UE par le FNS (dès 2015),0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,0,0,0,-24000,0,0,0,0,0,...,...
1997,Projets du FNS,34485350,40452578,10593363,47223000,26556740,267571,9965441,3691280,37362761,0,20095000,34727153,...,...
1997,Projets de Innosuisse (autrefois CTI),0,0,0,0,118869,0,2019129,1339759,565779,0,9772000,12763852,...,...
1997,Programmes de recherche de l'UE,2037591,0,207619,0,2611961,0,12631462,0,615587,0,0,0,...,...
1997,Autres programmes internationaux,1365970,0,1016008,0,0,0,0,811960,2021659,0,6324000,0,...,...
1997,Mandats de recherche de la Confédération,3528623,0,4546934,0,0,0,0,0,12059511,0,34251000,27061715,...,...
1997,"Mesures spéciales (subv. Extraord. LAU, jusqu'en 1999)",2522820,27469557,1759847,0,2695818,0,0,1442018,4040217,0,0,8945096,...,...
1997,"Programmes prioritaires (PPR, jusqu'en 1999)",48000,0,211000,0,0,0,0,0,0,0,0,11082956,...,...
1997,Programmes COST (jusqu'en 1999),254183,0,60115,0,606959,0,0,0,77007,0,1274000,1686000,...,...
1997,Financement de projets de l'UE par le SEFRI,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Mandats de recherche du secteur privé,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Mandats de recherche des autres collectivités publiques,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Revenus des prestations de service,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Revenus de la formation continue,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1997,Canton: mandats publics (jusqu'en 1999),38330,8590472,204731,0,0,0,0,0,1621545,0,0,0,...,...
1997,Autres cantons: mandats publics (jusqu'en 1999),2995390,0,235570,0,0,0,0,0,437126,0,2167000,968293,...,...
1997,Communes: mandats publics (jusqu'en 1999),0,0,59000,0,0,0,0,0,30900,0,3250000,0,...,...
1997,Economie privée (jusqu'en 1999),3379546,36041442,1792282,53752000,0,0,0,31799581,8366984,0,17181000,40440083,...,...
1997,Fondations privées (jusqu'en 1999),12161597,0,741406,10380000,0,0,0,1232223,7515031,0,0,5283995,...,...
1997,Revenu de la fortune de l'université (jusqu'en 1999),0,0,0,0,1564752,0,0,0,0,0,0,0,...,...
1997,"Déduction des dépenses non universitaires (Crédit de tiers, jusqu'en 1999)",0,0,0,0,0,0,-771438,0,0,0,0,0,...,...
1997,Autres sources externes (jusqu'en 1999),12241803,7040580,9515745,0,24263936,100343,4692694,-136284,13202859,0,0,0,...,...
1998,Ecolage,8574992,9099463,6660977,8450758,6308673,262750,2215098,4577310,19913866,2909400,3098000,7476000,...,...
1998,Autres moyens propres de la haute école,10330148,36245072,3274553,20799068,1671266,44363,823141,5108659,56268421,2452858,0,0,...,...
1998,Canton universitaire: couverture ou budget,126492848,260539745,39238017,289800002,140511710,4404168,37688990,15077795,388759734,6500000,0,0,...,...
1998,Canton: imputations internes (jusqu'en 1999),0,313407,0,0,0,0,0,-598072,0,0,0,0,...,...
1998,Autres cantons: accord intercantonal universitaire,18359649,33671938,43496306,23712124,25256211,1219016,11011780,20434324,66734367,3197683,0,0,...,...
1998,Autres cantons: autres subventions,0,85000,0,0,0,673787,68600,255216,1002595,0,0,0,...,...
1998,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",1526153,0,3118318,9807114,4050675,0,0,0,0,0,0,0,...,...
1998,"Confédération: contributions liées à des projets de coopération et d'innovation, selon LEHE (autrefois LAU)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Confédération: autres subventions,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Fondations,0,0,0,0,0,0,0,0,0,0,0,0,...,...
