"Canton","Groupe / Genre de véhicule","2019","2020","2021","2022","2023"
"Valais / Wallis","... Remorque pour engins de sport",11,12,18,7,12
"Valais / Wallis","... Remorque de travail",66,71,41,37,56
"Valais / Wallis","... Semi-remorque transport de choses",34,26,22,31,28
"Valais / Wallis","... Autres remorques",15,15,20,19,12
"Neuchâtel","... Remorque agricole",17,9,13,19,14
"Neuchâtel","... Remorque motocycle",0,0,0,0,0
"Neuchâtel","... Remorque de travail agricole",8,10,18,14,10
"Neuchâtel","... Remorque transport de choses",204,194,178,184,172
"Neuchâtel","... Caravane",21,17,16,19,19
"Neuchâtel","... Remorque pour engins de sport",12,17,8,3,10
"Neuchâtel","... Remorque de travail",7,18,12,9,6
"Neuchâtel","... Semi-remorque transport de choses",17,24,4,16,14
"Neuchâtel","... Autres remorques",6,7,14,8,6
"Genève","... Remorque agricole",9,3,11,6,5
"Genève","... Remorque motocycle",1,1,0,0,0
"Genève","... Remorque de travail agricole",5,4,5,9,5
"Genève","... Remorque transport de choses",200,202,219,156,163
"Genève","... Caravane",9,14,6,23,8
"Genève","... Remorque pour engins de sport",29,40,24,27,28
"Genève","... Remorque de travail",16,8,23,9,10
"Genève","... Semi-remorque transport de choses",20,21,9,28,10
"Genève","... Autres remorques",13,12,13,17,5
"Jura","... Remorque agricole",17,16,14,17,19
"Jura","... Remorque motocycle",1,0,0,0,0
"Jura","... Remorque de travail agricole",21,14,9,10,17
"Jura","... Remorque transport de choses",125,150,180,137,121
"Jura","... Caravane",6,8,10,6,11
"Jura","... Remorque pour engins de sport",0,2,3,3,1
"Jura","... Remorque de travail",7,3,3,4,6
"Jura","... Semi-remorque transport de choses",3,6,1,2,2
"Jura","... Autres remorques",5,0,1,4,6
